Policy #,Policy_type,Policy year,Seller Number,Amount of coverage_policy (in dollar),Business_type_Seller,Industry_Seller,Date of establishment (Seller)
65,Multiple buyers,2015,105800,1975000,Corporation,Manufacturing,1985-02
65,Multiple buyers,2015,105800,1975000,Corporation,Manufacturing,1985-02
66,Multiple buyers,2015,105900,2198000,Corporation,Manufacturing,1959-07
66,Multiple buyers,2015,105900,2198000,Corporation,Manufacturing,1959-07
66,Multiple buyers,2015,105900,2198000,Corporation,Manufacturing,1959-07
66,Multiple buyers,2015,105900,2198000,Corporation,Manufacturing,1959-07
67,###,2015,105900,400000,Corporation,Manufacturing,1959-07
68,One_buyer,2015,106000,4000,Corporation,Wholesale Trade,1979-03
69,One_buyer,2015,106000,39000,Corporation,Wholesale Trade,1979-03
70,One_buyer,2015,106000,31000,Corporation,Wholesale Trade,1979-03
71,Multiple buyers,2015,106100,2643000,Corporation,Manufacturing,1985-07
71,Multiple buyers,2015,106100,2643000,Corporation,Manufacturing,1985-07
71,Multiple buyers,2015,106100,2643000,Corporation,Manufacturing,1985-07
71,Multiple buyers,2015,106100,2643000,Corporation,Manufacturing,1985-07
71,Multiple buyers,2015,106100,2643000,Corporation,Manufacturing,1985-07
72,One_buyer,2015,106200,20000,Corporation,Transportation,1982-05
73,One_buyer,2015,106300,4000,Individual Business,Manufacturing,1994-06
74,One_buyer,2015,106400,6000,Corporation,Wholesale Trade,1986-06
75,Multiple buyers,2015,106500,301000,Corporation,Manufacturing,1985-05
75,Multiple buyers,2015,106500,301000,Corporation,Manufacturing,1985-05
77,One_buyer,2015,106700,30000,Corporation,Manufacturing,1975-01
78,Multiple buyers,2015,106800,656000,Individual Business,Manufacturing,1981-04
78,Multiple buyers,2015,106800,656000,Individual Business,Manufacturing,1981-04
79,Multiple buyers,2015,106900,1720000,Corporation,Manufacturing,1979-03
79,Multiple buyers,2015,106900,1720000,Corporation,Manufacturing,1979-03
79,Multiple buyers,2015,106900,1720000,Corporation,Manufacturing,1979-03
79,Multiple buyers,2015,106900,1720000,Corporation,Manufacturing,1979-03
80,One_buyer,2015,107000,200000,Corporation,Manufacturing,1984-08
81,One_buyer,2015,107000,50000,Corporation,Manufacturing,1984-08
82,Multiple buyers,2015,107100,460000,Corporation,Wholesale Trade,1986-09
82,Multiple buyers,2015,107100,460000,Corporation,Wholesale Trade,1986-09
82,Multiple buyers,2015,107100,460000,Corporation,Wholesale Trade,1986-09
83,One_buyer,2015,107200,10000,Corporation,Wholesale Trade,1977-12
84,Multiple buyers,2015,107300,1954000,Corporation,Manufacturing,1986-11
84,Multiple buyers,2015,107300,1954000,Corporation,Manufacturing,1986-11
85,Multiple buyers,2015,107400,1952000,Corporation,Manufacturing,1986-12
85,Multiple buyers,2015,107400,1952000,Corporation,Manufacturing,1986-12
85,Multiple buyers,2015,107400,1952000,Corporation,Manufacturing,1986-12
86,One_buyer,2015,107400,30000,Corporation,Manufacturing,1986-12
87,One_buyer,2015,107400,30000,Corporation,Manufacturing,1986-12
88,One_buyer,2015,107400,20000,Corporation,Manufacturing,1986-12
89,Multiple buyers,2015,107500,550000,Corporation,Manufacturing,1983-04
89,Multiple buyers,2015,107500,550000,Corporation,Manufacturing,1983-04
89,Multiple buyers,2015,107500,550000,Corporation,Manufacturing,1983-04
90,,2015,107600,#N/A,Corporation,Wholesale Trade,1986-12
91,,2015,107600,#N/A,Corporation,Wholesale Trade,1986-12
92,,2015,107600,#N/A,Corporation,Wholesale Trade,1986-12
94,,2015,107600,#N/A,Corporation,Wholesale Trade,1986-12
95,,2015,107600,#N/A,Corporation,Wholesale Trade,1986-12
96,One_buyer,2015,107700,27000,Corporation,Manufacturing,1984-02
97,Multiple buyers,2015,107800,500000,Corporation,Wholesale Trade,1986-12
98,Multiple buyers,2015,107900,1253000,Corporation,Manufacturing,1986-04
98,Multiple buyers,2015,107900,1253000,Corporation,Manufacturing,1986-04
99,Multiple buyers,2015,108000,266000,Corporation,Manufacturing,1986-06
99,Multiple buyers,2015,108000,266000,Corporation,Manufacturing,1986-06
100,Multiple buyers,2015,108100,1951000,Corporation,Manufacturing,1987-02
100,Multiple buyers,2015,108100,1951000,Corporation,Manufacturing,1987-02
100,Multiple buyers,2015,108100,1951000,Corporation,Manufacturing,1987-02
101,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
102,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
103,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
104,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
105,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
106,,2015,108100,#N/A,Corporation,Manufacturing,1987-02
107,Multiple buyers,2015,108200,1500000,Corporation,Manufacturing,1986-12
108,Multiple buyers,2015,108300,1408000,Corporation,Manufacturing,1983-07
109,,2015,108400,#N/A,Corporation,Wholesale Trade,1985-10
110,One_buyer,2015,108400,10000,Corporation,Wholesale Trade,1985-10
111,One_buyer,2015,108500,10000,Corporation,Manufacturing,1986-08
112,Multiple buyers,2015,108600,840000,Corporation,Manufacturing,1987-06
112,Multiple buyers,2015,108600,840000,Corporation,Manufacturing,1987-06
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
113,Multiple buyers,2015,108700,546000,Corporation,Manufacturing,1979-03
114,One_buyer,2015,108800,24000,Corporation,Manufacturing,1986-08
115,One_buyer,2015,108900,10000,Corporation,Manufacturing,1987-09
116,One_buyer,2015,109000,1000,Individual Business,Manufacturing,1987-11
118,Multiple buyers,2015,109200,493000,Individual Business,Manufacturing,1987-02
119,Multiple buyers,2015,109300,289000,Corporation,Manufacturing,1988-01
120,Multiple buyers,2015,109400,3000000,Corporation,Manufacturing,1986-09
120,Multiple buyers,2015,109400,3000000,Corporation,Manufacturing,1986-09
120,Multiple buyers,2015,109400,3000000,Corporation,Manufacturing,1986-09
120,Multiple buyers,2015,109400,3000000,Corporation,Manufacturing,1986-09
121,Multiple buyers,2015,109500,514000,Corporation,Manufacturing,1981-03
122,Multiple buyers,2015,109600,317000,Corporation,Manufacturing,1978-02
123,Multiple buyers,2015,109700,1067000,Corporation,Wholesale Trade,1987-06
123,Multiple buyers,2015,109700,1067000,Corporation,Wholesale Trade,1987-06
124,Multiple buyers,2015,109800,1135000,Corporation,Manufacturing,1988-07
124,Multiple buyers,2015,109800,1135000,Corporation,Manufacturing,1988-07
125,Multiple buyers,2015,109900,1406000,Corporation,Manufacturing,1987-07
125,Multiple buyers,2015,109900,1406000,Corporation,Manufacturing,1987-07
125,Multiple buyers,2015,109900,1406000,Corporation,Manufacturing,1987-07
125,Multiple buyers,2015,109900,1406000,Corporation,Manufacturing,1987-07
125,Multiple buyers,2015,109900,1406000,Corporation,Manufacturing,1987-07
126,One_buyer,2015,109900,50000,Corporation,Manufacturing,1987-07
127,Multiple buyers,2015,110000,631000,Corporation,Transportation,1983-11
127,Multiple buyers,2015,110000,631000,Corporation,Transportation,1983-11
127,Multiple buyers,2015,110000,631000,Corporation,Transportation,1983-11
128,Multiple buyers,2015,110100,638000,Corporation,Manufacturing,1988-04
129,One_buyer,2015,110200,10000,Individual Business,Manufacturing,1988-03
130,One_buyer,2015,110300,10000,Corporation,Manufacturing,1987-11
131,One_buyer,2015,110400,23000,Individual Business,Manufacturing,1992-05
132,One_buyer,2015,110500,200000,Corporation,Manufacturing,1988-08
133,One_buyer,2015,110500,80000,Corporation,Manufacturing,1988-08
134,Multiple buyers,2015,110600,1453000,Individual Business,Manufacturing,1987-03
136,Multiple buyers,2015,110800,2324000,Corporation,Manufacturing,1986-07
136,Multiple buyers,2015,110800,2324000,Corporation,Manufacturing,1986-07
136,Multiple buyers,2015,110800,2324000,Corporation,Manufacturing,1986-07
136,Multiple buyers,2015,110800,2324000,Corporation,Manufacturing,1986-07
137,One_buyer,2015,110900,40000,Corporation,Wholesale Trade,1988-04
138,Multiple buyers,2015,111000,490000,Corporation,Transportation,1967-12
139,One_buyer,2015,111100,10000,Individual Business,Manufacturing,1982-07
140,One_buyer,2015,111200,10000,Corporation,"Professional, Scientific, and Technical Services",1988-05
142,One_buyer,2015,111400,30000,Corporation,Manufacturing,1987-10
143,One_buyer,2015,111500,8000,Corporation,Manufacturing,1982-07
144,Multiple buyers,2015,111600,846000,Corporation,Manufacturing,1988-10
144,Multiple buyers,2015,111600,846000,Corporation,Manufacturing,1988-10
145,Multiple buyers,2015,111700,1031000,Corporation,Manufacturing,1989-02
145,Multiple buyers,2015,111700,1031000,Corporation,Manufacturing,1989-02
145,Multiple buyers,2015,111700,1031000,Corporation,Manufacturing,1989-02
145,Multiple buyers,2015,111700,1031000,Corporation,Manufacturing,1989-02
146,Multiple buyers,2015,111800,2993000,Corporation,Manufacturing,1989-02
146,Multiple buyers,2015,111800,2993000,Corporation,Manufacturing,1989-02
146,Multiple buyers,2015,111800,2993000,Corporation,Manufacturing,1989-02
147,One_buyer,2015,111900,10000,Corporation,Wholesale Trade,1988-03
148,One_buyer,2015,112000,65000,Corporation,"Professional, Scientific, and Technical Services",1988-01
149,Multiple buyers,2015,112100,364000,Corporation,Wholesale Trade,1988-11
150,Multiple buyers,2015,112200,719000,Corporation,Wholesale Trade,1987-03
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
151,Multiple buyers,2015,112300,2435000,Corporation,Manufacturing,1988-01
152,One_buyer,2015,112400,50000,Corporation,Wholesale Trade,1987-12
153,One_buyer,2015,112400,20000,Corporation,Wholesale Trade,1987-12
154,One_buyer,2015,112400,370000,Corporation,Wholesale Trade,1987-12
155,One_buyer,2015,112400,20000,Corporation,Wholesale Trade,1987-12
156,One_buyer,2015,112400,30000,Corporation,Wholesale Trade,1987-12
157,One_buyer,2015,112400,300000,Corporation,Wholesale Trade,1987-12
158,Multiple buyers,2015,112400,340000,Corporation,Wholesale Trade,1987-12
158,Multiple buyers,2015,112400,340000,Corporation,Wholesale Trade,1987-12
159,One_buyer,2015,112400,900000,Corporation,Wholesale Trade,1987-12
161,One_buyer,2015,112400,300000,Corporation,Wholesale Trade,1987-12
162,One_buyer,2015,112500,10000,Corporation,Manufacturing,1989-03
163,Multiple buyers,2015,112600,622000,Corporation,Manufacturing,1980-03
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
164,Multiple buyers,2015,112700,1777000,Corporation,Manufacturing,1987-01
165,One_buyer,2015,112800,4000,Corporation,Wholesale Trade,1984-06
166,Multiple buyers,2015,112900,1090000,Corporation,Manufacturing,1988-12
167,One_buyer,2015,113000,10000,Corporation,Wholesale Trade,1987-12
168,Multiple buyers,2015,113100,1742000,Corporation,Manufacturing,1989-06
168,Multiple buyers,2015,113100,1742000,Corporation,Manufacturing,1989-06
169,One_buyer,2015,113100,9000,Corporation,Manufacturing,1989-06
170,Multiple buyers,2015,113200,503000,Corporation,Manufacturing,1973-01
171,One_buyer,2015,113300,50000,Corporation,Manufacturing,1989-04
172,Multiple buyers,2015,113400,919000,Corporation,Manufacturing,1988-07
172,Multiple buyers,2015,113400,919000,Corporation,Manufacturing,1988-07
173,Multiple buyers,2015,113500,2458000,Corporation,Manufacturing,1988-06
173,Multiple buyers,2015,113500,2458000,Corporation,Manufacturing,1988-06
174,One_buyer,2015,113600,304000,Corporation,Manufacturing,1989-06
175,Multiple buyers,2015,113700,925000,Corporation,Manufacturing,1989-04
175,Multiple buyers,2015,113700,925000,Corporation,Manufacturing,1989-04
176,One_buyer,2015,113800,238000,Corporation,Manufacturing,1988-09
177,One_buyer,2015,113900,30000,Corporation,Wholesale Trade,1989-06
178,Multiple buyers,2015,114000,590000,Corporation,Wholesale Trade,1985-07
178,Multiple buyers,2015,114000,590000,Corporation,Wholesale Trade,1985-07
178,Multiple buyers,2015,114000,590000,Corporation,Wholesale Trade,1985-07
179,One_buyer,2015,114000,30000,Corporation,Wholesale Trade,1985-07
180,One_buyer,2015,114000,30000,Corporation,Wholesale Trade,1985-07
181,One_buyer,2015,114000,30000,Corporation,Wholesale Trade,1985-07
182,One_buyer,2015,114100,2000,Individual Business,Manufacturing,1982-12
183,One_buyer,2015,114200,15000,Corporation,Manufacturing,1989-03
184,Multiple buyers,2015,114200,446000,Corporation,Manufacturing,1989-03
184,Multiple buyers,2015,114200,446000,Corporation,Manufacturing,1989-03
185,Multiple buyers,2015,114300,395000,Corporation,Manufacturing,1979-05
185,Multiple buyers,2015,114300,395000,Corporation,Manufacturing,1979-05
186,One_buyer,2015,114400,3000,Corporation,Manufacturing,1989-07
187,One_buyer,2015,114500,100000,Corporation,Manufacturing,1984-10
188,One_buyer,2015,114600,9000,Individual Business,Manufacturing,1980-06
189,Multiple buyers,2015,114700,1050000,Individual Business,Manufacturing,1987-03
190,Multiple buyers,2015,114800,1380000,Corporation,Wholesale Trade,1988-04
190,Multiple buyers,2015,114800,1380000,Corporation,Wholesale Trade,1988-04
190,Multiple buyers,2015,114800,1380000,Corporation,Wholesale Trade,1988-04
190,Multiple buyers,2015,114800,1380000,Corporation,Wholesale Trade,1988-04
191,Multiple buyers,2015,114900,772000,Corporation,Manufacturing,1990-02
192,Multiple buyers,2015,115000,2850000,Corporation,Manufacturing,1988-03
192,Multiple buyers,2015,115000,2850000,Corporation,Manufacturing,1988-03
192,Multiple buyers,2015,115000,2850000,Corporation,Manufacturing,1988-03
192,Multiple buyers,2015,115000,2850000,Corporation,Manufacturing,1988-03
192,Multiple buyers,2015,115000,2850000,Corporation,Manufacturing,1988-03
193,One_buyer,2015,115100,16000,Corporation,Wholesale Trade,1990-01
194,Multiple buyers,2015,115200,1591000,Corporation,Manufacturing,1990-01
194,Multiple buyers,2015,115200,1591000,Corporation,Manufacturing,1990-01
195,One_buyer,2015,115300,10000,Individual Business,Manufacturing,1984-06
196,One_buyer,2015,115400,10000,Individual Business,Manufacturing,1991-02
197,One_buyer,2015,115500,13000,Corporation,Manufacturing,1989-07
198,Multiple buyers,2015,115600,993000,Corporation,Manufacturing,1989-07
199,One_buyer,2015,115700,10000,Individual Business,Manufacturing,1983-04
200,One_buyer,2015,115800,3000,Corporation,Manufacturing,1990-05
201,One_buyer,2015,115900,9000,Individual Business,Wholesale Trade,1986-01
202,One_buyer,2015,116000,813000,Corporation,Manufacturing,1989-12
203,Multiple buyers,2015,116100,1450000,Individual Business,Manufacturing,1985-01
204,One_buyer,2015,116200,30000,Corporation,Transportation,1988-03
205,One_buyer,2015,116300,4000,Corporation,Manufacturing,1989-12
207,One_buyer,2015,116500,10000,Individual Business,Manufacturing,1989-01
208,Multiple buyers,2015,116600,999000,Corporation,Manufacturing,1989-06
209,Multiple buyers,2015,116700,350000,Corporation,Manufacturing,1983-01
211,One_buyer,2015,116900,10000,Corporation,Manufacturing,1986-12
212,Multiple buyers,2015,117000,696000,Corporation,Wholesale Trade,1985-12
212,Multiple buyers,2015,117000,696000,Corporation,Wholesale Trade,1985-12
212,Multiple buyers,2015,117000,696000,Corporation,Wholesale Trade,1985-12
212,Multiple buyers,2015,117000,696000,Corporation,Wholesale Trade,1985-12
212,Multiple buyers,2015,117000,696000,Corporation,Wholesale Trade,1985-12
213,One_buyer,2015,117100,10000,Corporation,Manufacturing,1989-08
214,Multiple buyers,2015,117200,313000,Corporation,Manufacturing,1990-01
215,One_buyer,2015,117300,17000,Individual Business,Manufacturing,1983-11
216,One_buyer,2015,117400,10000,Corporation,Manufacturing,1990-04
217,Multiple buyers,2015,117500,890000,Corporation,Manufacturing,1984-11
218,Multiple buyers,2015,117600,1440000,Corporation,Wholesale Trade,1989-01
218,Multiple buyers,2015,117600,1440000,Corporation,Wholesale Trade,1989-01
218,Multiple buyers,2015,117600,1440000,Corporation,Wholesale Trade,1989-01
218,Multiple buyers,2015,117600,1440000,Corporation,Wholesale Trade,1989-01
218,Multiple buyers,2015,117600,1440000,Corporation,Wholesale Trade,1989-01
219,One_buyer,2015,117700,139000,Corporation,Manufacturing,1990-05
220,Multiple buyers,2015,117800,2434000,Corporation,Wholesale Trade,1989-05
221,Multiple buyers,2015,117900,133000,Corporation,Manufacturing,1984-12
222,One_buyer,2015,118000,9000,Corporation,Manufacturing,1990-06
223,Multiple buyers,2015,118100,538000,Corporation,Manufacturing,1988-03
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
224,Multiple buyers,2015,118200,1682000,Corporation,Manufacturing,1987-04
225,Multiple buyers,2015,118300,1657000,Corporation,Wholesale Trade,1990-01
225,Multiple buyers,2015,118300,1657000,Corporation,Wholesale Trade,1990-01
226,Multiple buyers,2015,118400,170000,Individual Business,Manufacturing,1989-12
226,Multiple buyers,2015,118400,170000,Individual Business,Manufacturing,1989-12
226,Multiple buyers,2015,118400,170000,Individual Business,Manufacturing,1989-12
227,One_buyer,2015,118500,9000,Individual Business,Manufacturing,1978-12
228,One_buyer,2015,118600,10000,Corporation,Wholesale Trade,1985-07
229,,2015,118600,#N/A,Corporation,Wholesale Trade,1985-07
231,Multiple buyers,2015,118800,379000,Corporation,Wholesale Trade,1984-11
231,Multiple buyers,2015,118800,379000,Corporation,Wholesale Trade,1984-11
232,One_buyer,2015,118900,197000,Corporation,Manufacturing,1974-01
233,Multiple buyers,2015,119000,1372000,Corporation,Wholesale Trade,1989-01
233,Multiple buyers,2015,119000,1372000,Corporation,Wholesale Trade,1989-01
233,Multiple buyers,2015,119000,1372000,Corporation,Wholesale Trade,1989-01
233,Multiple buyers,2015,119000,1372000,Corporation,Wholesale Trade,1989-01
234,Multiple buyers,2015,119100,280000,Corporation,Wholesale Trade,1990-04
236,One_buyer,2015,119300,50000,Corporation,Manufacturing,1989-06
237,Multiple buyers,2015,119400,604000,Corporation,Manufacturing,1989-04
237,Multiple buyers,2015,119400,604000,Corporation,Manufacturing,1989-04
237,Multiple buyers,2015,119400,604000,Corporation,Manufacturing,1989-04
238,One_buyer,2015,119500,25000,Corporation,Transportation,1988-09
239,Multiple buyers,2015,119600,1111000,Corporation,Manufacturing,1987-02
239,Multiple buyers,2015,119600,1111000,Corporation,Manufacturing,1987-02
239,Multiple buyers,2015,119600,1111000,Corporation,Manufacturing,1987-02
240,One_buyer,2015,119700,5000,Corporation,Manufacturing,1988-06
241,Multiple buyers,2015,119800,3000000,Corporation,Manufacturing,1988-07
